Channel 94 has 50 from 530 windows with artifacts.
166600, Brain
166728, Brain
166856, Brain
166984, Brain
167112, Brain
167240, Brain
167368, Brain
167496, Brain
167624, Brain
167752, Brain
167880, Brain
168008, Brain
168136, Brain
168264, Brain
168392, Brain
168520, Brain
168648, Brain
168776, Brain
168904, Brain
169032, Brain
169160, Brain
169288, Brain
169416, Brain
169544, Brain
169672, Brain
169800, Brain
169928, Brain
170056, Brain
170184, Brain
170312, Brain
170440, Brain
170696, Artefact
170824, Artefact
170952, Artefact
171080, Artefact
171336, Brain
171464, Brain
171592, Brain
171720, Brain
171848, Brain
171976, Brain
172104, Brain
172232, Brain
172360, Brain
172488, Brain
172744, Artefact
172872, Artefact
173000, Artefact
173128, Artefact
173256, Artefact
173512, Brain
173640, Brain
173768, Brain
173896, Brain
174024, Brain
174152, Brain
174280, Brain
174408, Brain
174536, Brain
174664, Brain
174792, Brain
174920, Brain
175048, Brain
175176, Brain
175304, Brain
175432, Brain
175560, Brain
175688, Brain
175816, Brain
175944, Brain
176072, Brain
176200, Brain
176328, Brain
176456, Brain
176584, Brain
176712, Brain
176840, Brain
176968, Brain
177096, Brain
177224, Brain
177352, Brain
177480, Brain
177608, Brain
177736, Brain
177864, Brain
177992, Brain
178120, Brain
178248, Brain
178376, Brain
178504, Brain
178632, Brain
178760, Brain
178888, Brain
179016, Brain
179144, Brain
179272, Brain
179400, Brain
179656, Artefact
179784, Artefact
179912, Artefact
180168, Artefact
180296, Artefact
180424, Artefact
180552, Artefact
180680, Artefact
180936, Artefact
181192, Brain
181320, Brain
181448, Brain
181576, Brain
181704, Brain
181832, Brain
181960, Brain
182088, Brain
182216, Brain
182344, Brain
182472, Brain
182600, Brain
182728, Brain
182856, Brain
182984, Brain
183112, Brain
183240, Brain
183368, Brain
183496, Brain
183624, Brain
183752, Brain
183880, Brain
184008, Brain
184136, Brain
184264, Brain
184392, Brain
184520, Brain
184648, Brain
184776, Brain
184904, Brain
185032, Brain
185160, Brain
185288, Brain
185416, Brain
185544, Brain
185672, Brain
185800, Brain
185928, Brain
186056, Brain
186184, Brain
186312, Brain
186440, Brain
186568, Brain
186696, Brain
186824, Brain
186952, Brain
187080, Brain
187208, Brain
187336, Brain
187464, Brain
187592, Brain
187720, Brain
187848, Brain
187976, Brain
188104, Brain
188232, Brain
188360, Brain
188488, Brain
188616, Brain
188744, Brain
188872, Brain
189000, Brain
189128, Brain
189256, Brain
189512, Artefact
189640, Artefact
189768, Artefact
